weekday, date, hour, capacity
Friday,11.06.2021,12:30,13
Friday,11.06.2021,12:45,14
Friday,11.06.2021,13:00,14
Friday,11.06.2021,13:15,14
Friday,11.06.2021,13:30,11
Friday,11.06.2021,13:45,9
Friday,11.06.2021,14:00,10
Friday,11.06.2021,14:15,10
Friday,11.06.2021,14:30,9
Friday,11.06.2021,14:45,9
Friday,11.06.2021,15:00,11
Friday,11.06.2021,15:15,15
Friday,11.06.2021,15:30,18
Friday,11.06.2021,15:45,24
Friday,11.06.2021,16:00,23
Friday,11.06.2021,16:15,21
Friday,11.06.2021,16:30,24
Friday,11.06.2021,16:45,19
Friday,11.06.2021,17:00,18
Friday,11.06.2021,17:15,14
Friday,11.06.2021,17:30,14
Friday,11.06.2021,17:45,11
Friday,11.06.2021,18:00,10
Friday,11.06.2021,18:15,10
Friday,11.06.2021,18:30,13
Friday,11.06.2021,18:45,14
Friday,11.06.2021,19:00,19
Friday,11.06.2021,19:15,23
Friday,11.06.2021,19:30,30
Friday,11.06.2021,19:45,41
Friday,11.06.2021,20:00,41
Friday,11.06.2021,20:15,34
Friday,11.06.2021,20:30,40
Friday,11.06.2021,20:45,40
Friday,11.06.2021,21:00,40
Friday,11.06.2021,21:15,35
Friday,11.06.2021,21:30,34
Friday,11.06.2021,21:45,30
Friday,11.06.2021,22:00,33
Friday,11.06.2021,22:15,24
Friday,11.06.2021,22:30,24
Friday,11.06.2021,22:45,16
Friday,11.06.2021,23:00,10
Saturday,12.06.2021,09:00,1
Saturday,12.06.2021,09:15,4
Saturday,12.06.2021,09:30,9
Saturday,12.06.2021,09:45,18
Saturday,12.06.2021,10:00,21
Saturday,12.06.2021,10:15,31
Saturday,12.06.2021,10:30,38
Saturday,12.06.2021,10:45,38
Saturday,12.06.2021,11:00,38
Saturday,12.06.2021,11:15,38
Saturday,12.06.2021,11:30,43
Saturday,12.06.2021,11:45,34
Saturday,12.06.2021,12:00,26
Saturday,12.06.2021,12:15,21
Saturday,12.06.2021,12:30,28
Saturday,12.06.2021,12:45,28
Saturday,12.06.2021,13:00,26
Saturday,12.06.2021,13:15,24
Saturday,12.06.2021,13:30,26
Saturday,12.06.2021,13:45,23
Saturday,12.06.2021,14:00,23
Saturday,12.06.2021,14:15,20
Saturday,12.06.2021,14:30,23
Saturday,12.06.2021,14:45,20
Saturday,12.06.2021,15:00,20
Saturday,12.06.2021,15:15,23
Saturday,12.06.2021,15:30,19
Saturday,12.06.2021,15:45,19
Saturday,12.06.2021,16:00,14
Saturday,12.06.2021,16:15,14
Saturday,12.06.2021,16:30,15
Saturday,12.06.2021,16:45,8
Saturday,12.06.2021,17:00,5
Saturday,12.06.2021,17:15,6
Saturday,12.06.2021,17:30,6
Saturday,12.06.2021,17:45,6
Saturday,12.06.2021,18:00,8
Saturday,12.06.2021,18:15,10
Saturday,12.06.2021,18:30,11
Saturday,12.06.2021,18:45,13
Saturday,12.06.2021,19:00,15
Saturday,12.06.2021,19:15,15
Saturday,12.06.2021,19:30,18
Saturday,12.06.2021,19:45,18
Saturday,12.06.2021,20:00,18
Saturday,12.06.2021,20:15,14
Saturday,12.06.2021,20:30,13
Saturday,12.06.2021,20:45,14
Saturday,12.06.2021,21:00,6
Saturday,12.06.2021,21:15,6
Saturday,12.06.2021,21:30,6
Saturday,12.06.2021,21:45,1
Saturday,12.06.2021,22:00,1
Sunday,13.06.2021,09:00,0
Sunday,13.06.2021,09:15,5
Sunday,13.06.2021,09:30,11
Sunday,13.06.2021,09:45,14
Sunday,13.06.2021,10:00,16
Sunday,13.06.2021,10:15,16
Sunday,13.06.2021,10:30,18
Sunday,13.06.2021,10:45,23
Sunday,13.06.2021,11:00,24
Sunday,13.06.2021,11:15,26
Sunday,13.06.2021,11:30,31
Sunday,13.06.2021,11:45,33
Sunday,13.06.2021,12:00,29
Sunday,13.06.2021,12:15,29
Sunday,13.06.2021,12:30,31
Sunday,13.06.2021,12:45,31
Sunday,13.06.2021,13:00,31
Sunday,13.06.2021,13:15,38
Sunday,13.06.2021,13:30,34
Sunday,13.06.2021,13:45,40
Sunday,13.06.2021,14:00,31
Sunday,13.06.2021,14:15,30
Sunday,13.06.2021,14:30,23
Sunday,13.06.2021,14:45,23
Sunday,13.06.2021,15:00,21
Sunday,13.06.2021,15:15,26
Sunday,13.06.2021,15:30,34
Sunday,13.06.2021,15:45,28
Sunday,13.06.2021,16:00,30
Sunday,13.06.2021,16:15,24
Sunday,13.06.2021,16:30,28
Sunday,13.06.2021,16:45,28
Sunday,13.06.2021,17:00,29
Sunday,13.06.2021,17:15,26
Sunday,13.06.2021,17:30,21
Sunday,13.06.2021,17:45,14
Sunday,13.06.2021,18:00,11
Sunday,13.06.2021,18:15,14
Sunday,13.06.2021,18:30,14
Sunday,13.06.2021,18:45,15
Sunday,13.06.2021,19:00,14
Sunday,13.06.2021,19:15,10
Sunday,13.06.2021,19:30,10
Sunday,13.06.2021,19:45,13
Sunday,13.06.2021,20:00,13
Sunday,13.06.2021,20:15,15
Sunday,13.06.2021,20:30,20
Sunday,13.06.2021,20:45,15
Sunday,13.06.2021,21:00,18
Sunday,13.06.2021,21:15,15
Sunday,13.06.2021,21:30,15
Sunday,13.06.2021,21:45,15
Sunday,13.06.2021,22:00,15
Monday,14.06.2021,10:00,3
Monday,14.06.2021,10:15,3
Monday,14.06.2021,10:30,5
Monday,14.06.2021,10:45,8
Monday,14.06.2021,11:00,9
Monday,14.06.2021,11:15,9
Monday,14.06.2021,11:30,9
Monday,14.06.2021,11:45,6
Monday,14.06.2021,12:00,6
